,Price,Address,# of Beds,# of Baths,Size,Lot Size
0,"$725,000","0 GatewayRock Springs, WY 82901",NA,NA,NA,NA
1,"$452,900","1003 Winchester Blvd.Rock Springs, WY 82901",4,4,NA,0.21 Acres
2,"$396,900","600 TalladegaRock Springs, WY 82901",5,3,"3,154 Sq. Ft",NA
3,"$389,900","3239 Spearhead WayRock Springs, WY 82901",4,3,"3,076 Sq. Ft","Under 1/2 Acre, "
4,"$254,000","522 Emerald StreetRock Springs, WY 82901",3,3,"1,172 Sq. Ft","Under 1/2 Acre, "
5,"$252,900","1302 Veteran's DriveRock Springs, WY 82901",4,2,"1,932 Sq. Ft",0.27 Acres
6,"$210,000","1021 Cypress CirRock Springs, WY 82901",4,3,"1,676 Sq. Ft","Under 1/2 Acre, "
7,"$209,000","913 Madison DrRock Springs, WY 82901",3,2,"1,344 Sq. Ft","Under 1/2 Acre, "
8,"$199,900","1344 Teton StreetRock Springs, WY 82901",3,2,"1,920 Sq. Ft","Under 1/2 Acre, "
9,"$196,900","4 Minnies LaneRock Springs, WY 82901",3,2,"1,664 Sq. Ft",2.02 Acres
